,CAT_A,CAT_B,CAT_C,CAT_D,CAT_E,Month,Year
0,24534.5,31001.0,27005.0,3594.0,31330.0,Dec,2000
1,26599.5,31701.5,28505.0,2749.0,31479.5,Nov,2000
2,27006.5,31301.5,29001.0,4030.0,32726.0,Oct,2000
3,29104.5,31654.0,27052.5,4302.0,31900.5,Sep,2000
4,32897.5,33405.0,30145.5,5201.5,32865.5,Aug,2000
5,28849.5,31775.5,30990.5,6514.0,30945.0,Jul,2000
6,35268.0,34950.0,30951.5,6945.0,35700.0,Jun,2000
7,38471.0,38245.0,31545.5,7159.5,38650.0,May,2000
8,37755.0,37467.5,34101.5,7114.5,38214.0,Apr,2000
9,38415.0,38005.5,35502.0,7805.5,38500.0,Mar,2000
10,38405.0,40661.0,37581.0,8059.0,39352.0,Feb,2000
11,39145.0,43975.0,39550.5,7851.0,45695.0,Jan,2000
12,40269.5,50356.5,43556.0,7026.5,51172.5,Dec,2001
13,46951.5,57402.0,57868.5,5747.0,57250.5,Nov,2001
14,41689.0,49052.5,50396.0,4956.5,50500.0,Oct,2001
15,39451.5,49094.5,44946.0,5451.5,48508.5,Sep,2001
16,44839.0,52355.5,42402.5,4606.5,51375.5,Aug,2001
17,43401.5,49901.5,41510.5,5926.0,50000.0,Jul,2001
18,44001.0,48805.5,37690.0,6051.0,49263.5,Jun,2001
19,48797.5,54207.5,28314.5,6201.0,53500.0,May,2001
20,49244.5,53703.0,38253.0,6845.0,53278.0,Apr,2001
21,51277.0,53650.0,48019.0,7782.0,53751.0,Mar,2001
22,48915.5,49415.0,49355.5,6606.5,49778.0,Feb,2001
23,50495.0,52956.5,46651.5,6052.5,52800.5,Jan,2001
24,48875.5,48669.0,50354.5,6107.0,50199.5,Dec,2002
25,51809.5,54603.5,48501.5,6261.5,55450.5,Nov,2002
26,51249.0,54705.5,47145.5,6353.5,55270.0,Oct,2002
27,50753.0,56251.5,49845.5,6476.5,56045.0,Sep,2002
28,52918.5,57201.5,48151.5,6279.0,57578.5,Aug,2002
