CAT_A,CAT_B,CAT_C,CAT_D,CAT_E,Month,Year
24534.5,31001,27005,3594,31330,Dec,2000
26599.5,31701.5,28505,2749,31479.5,Nov,2000
27006.5,31301.5,29001,4030,32726,Oct,2000
29104.5,31654,27052.5,4302,31900.5,Sep,2000
32897.5,33405,30145.5,5201.5,32865.5,Aug,2000
28849.5,31775.5,30990.5,6514,30945,Jul,2000
35268,34950,30951.5,6945,35700,Jun,2000
38471,38245,31545.5,7159.5,38650,May,2000
37755,37467.5,34101.5,7114.5,38214,Apr,2000
38415,38005.5,35502,7805.5,38500,Mar,2000
38405,40661,37581,8059,39352,Feb,2000
39145,43975,39550.5,7851,45695,Jan,2000
40269.5,50356.5,43556,7026.5,51172.5,Dec,2001
46951.5,57402,57868.5,5747,57250.5,Nov,2001
41689,49052.5,50396,4956.5,50500,Oct,2001
39451.5,49094.5,44946,5451.5,48508.5,Sep,2001
44839,52355.5,42402.5,4606.5,51375.5,Aug,2001
43401.5,49901.5,41510.5,5926,50000,Jul,2001
44001,48805.5,37690,6051,49263.5,Jun,2001
48797.5,54207.5,28314.5,6201,53500,May,2001
49244.5,53703,38253,6845,53278,Apr,2001
51277,53650,48019,7782,53751,Mar,2001
48915.5,49415,49355.5,6606.5,49778,Feb,2001
50495,52956.5,46651.5,6052.5,52800.5,Jan,2001
48875.5,48669,50354.5,6107,50199.5,Dec,2002
51809.5,54603.5,48501.5,6261.5,55450.5,Nov,2002
51249,54705.5,47145.5,6353.5,55270,Oct,2002
50753,56251.5,49845.5,6476.5,56045,Sep,2002
52918.5,57201.5,48151.5,6279,57578.5,Aug,2002
52650.5,56798.5,48889.5,6157,56751.5,Jul,2002
54447,56505,47218,6302.5,56245,Jun,2002
47454.5,50083,42652,6302.5,49350,May,2002
46654.5,48301,43607.5,6502,48505.5,Apr,2002
45252,47053,47696,6546,47334.5,Mar,2002
44825.5,42790,45018.5,6428,44505,Feb,2002
48151.5,52504.5,49269,6700.5,53044.5,Jan,2002
55645,57501,47051,6550.5,58752,Dec,2003
57600.5,59302,44849.5,6207,61354,Nov,2003
56651,59039.5,43596.5,6251.5,59400.5,Oct,2003
56244,61051,46045,6335,61155,Sep,2003
56853.5,61464.5,47901.5,6156.5,59443,Aug,2003
57294.5,61805,50001.5,6410,64551,Jul,2003
63500,73254.5,50701,6455,75151,Jun,2003
67589.5,76301,51049.5,6506.5,78002.5,May,2003
67675,77306.5,58501,6556.5,78750,Apr,2003
63055,70278.5,58250,5555.5,71300,Mar,2003
59600.5,68820.5,52651.5,5652,69911,Feb,2003
65505.5,76089,55011.5,4646,75995,Jan,2003
66489,74194.5,56050.5,4261,75447,Dec,2004
66394.5,71890,64351,4239.5,72600,Nov,2004
63935,72091,59194.5,4606,72102,Oct,2004
63420.5,72500,49895,4478.5,74602,Sep,2004
65155,70839.5,53199.5,4353.5,70905.5,Aug,2004
62440,64945,47700,4126.5,64001.5,Jul,2004
62544.5,66502,42501,3989.5,66317.5,Jun,2004
62845.5,69052.5,38595,4002,66395.5,May,2004
74367.5,79757,41196.5,4495.5,78955,Apr,2004
77800.5,81805,55096.5,4145,83000.5,Mar,2004
74382.5,76952,51946,3276,78001.5,Feb,2004
72329.5,78850,49445,2346.5,78905,Jan,2004
73581,74355,49556.5,1797,77201,Dec,2005
73800,81939,55252.5,1711,86000.5,Nov,2005
80944.5,90705,72156,1882.5,93089,Oct,2005
80527.5,81669.5,75000,1681.5,83500.5,Sep,2005
75889.5,77103.5,69626,1757,78606,Aug,2005
73544.5,76749.5,63023.5,1661,76901,Jul,2005
68602,78375.5,58495,1706.5,79500.5,Jun,2005
63919,64502,56970,1681.5,64501,May,2005
61763,64505,57256.5,1801.5,64494.5,Apr,2005
69449,65995,54005.5,1902,69151,Mar,2005
82705,92784,54239,1647,93400,Feb,2005
91555,95855.5,58525.5,1857,96995,Jan,2005
80206,91850.5,62618,1656.5,96495,Dec,2006
77246,92702,59673,1824,93045,Nov,2006
70000.5,82901,56945,1916,86944.5,Oct,2006
65500,84345.5,57571.5,1826.5,88994.5,Sep,2006
70195,91252,58167.5,2047,94512,Aug,2006
64038.5,86395,55680.5,1809.5,89849.5,Jul,2006
59003.5,84200,54512,1812,85139,Jun,2006
60300.5,88633,57829.5,1955.5,87939.5,May,2006
61351,87350,55789,1910,88300,Apr,2006
56526,80653.5,50760,1745,78491,Mar,2006
54909,76039.5,50902.5,1907,75900.5,Feb,2006
47500.5,66845,41350,1617,66400.5,Jan,2006
51196.5,71176.5,39799,1691.5,72670,Dec,2007
55442,77170,40496,1950.5,76945,Nov,2007
53200.5,69744.5,34906,2084.5,69329,Oct,2007
49503,63945.5,30994.5,2224,64045.5,Sep,2007
49051,68205.5,33149,1944.5,68558.5,Aug,2007
55995.5,70501,33546,2186,71650.5,Jul,2007
51817,65350,30047.5,2390.5,63745,Jun,2007
45889.5,56155.5,22439,2133,56689.5,May,2007
43606,55901,26044.5,2496,56550.5,Apr,2007
43206.5,59448,29845.5,2569,60541.5,Mar,2007
40061.5,57700,28800,1910,60445.5,Feb,2007
39506,63955,32555.5,1596.5,71399,Jan,2007
46866.5,67251.5,32751,1626,70501,Dec,2008
36500.5,46695.5,31104,1477,47945.5,Nov,2008
32773.5,43700.5,30700,1595.5,44495,Oct,2008
31545,43315,32000.5,1477,43645.5,Sep,2008
30552,43072,30057,1276,43201,Aug,2008
32831.5,39399,30995,1305,42287.5,Jul,2008
30780.5,39956.5,30939,1453,41003,Jun,2008
26745.5,36300,30945,1282,39001,May,2008
32000.5,42751,36033.5,1237,46001.5,Apr,2008
24595.5,31239,29945.5,1179.5,34795.5,Mar,2008
20164.5,23534.5,22445.5,926.5,23315,Feb,2008
19501.5,20795,19545.5,870.5,20894,Jan,2008
18326,18446,18094.5,852.5,18199,Dec,2009
16968,18195.5,16994.5,876.5,18633.5,Nov,2009
17550,18809.5,19901,916.5,20601,Oct,2009
16804.5,19545,15500.5,975.5,20015,Sep,2009
14338.5,17590,18151,892,18767,Aug,2009
14800.5,17651,17149,894.5,17845,Jul,2009
12294.5,13364.5,11152.5,895,14000.5,Jun,2009
9189,4967.5,7350,856,9273.5,May,2009
7339.5,7495.5,6956,971,7557.5,Apr,2009
5003,5051,5450,935,5841,Mar,2009
2740,2789,2445.5,1695.5,4444.5,Feb,2009
3847,1644.5,3201,950,4450.5,Jan,2009
6960.5,4578.5,4606.5,1080.5,7049,Dec,2010
5228.5,6595,7539,1260.5,8689.5,Nov,2010
12395,10994.5,13701,1749,13529.5,Oct,2010
11800.5,13345,14389.5,1503,14594.5,Sep,2010
12895,13389.5,12789,1361.5,14051,Aug,2010
14393,14868,12809,1520,15259.5,Jul,2010
14345.5,14664.5,12751.5,1092.5,15880,Jun,2010
13355,16501,15322.5,1199,16600,May,2010
16265,18505.5,18525.5,1082,18920,Apr,2010
14870,18500.5,16960,930,18762,Mar,2010
12429,14359.5,14001.5,975,14205.5,Feb,2010
13026.5,14639,12750.5,1056.5,14701,Jan,2010
13001,14458,12425.5,950.5,15750.5,Dec,2011
15621.5,17201,14695,1176.5,17405,Nov,2011
14700,17345.5,14939,1075.5,18000,Oct,2011
17970,18894.5,10020,1067.5,19261,Sep,2011
12559.5,17005.5,6328.5,1220,17652.5,Aug,2011
15400.5,17500.5,4399,1067,17405,Jul,2011
15886,19346.5,6195,1152.5,18945,Jun,2011
16584.5,18389.5,9150,1348.5,18683,May,2011
14300.5,15439,3151,1892,15708,Apr,2011
13053,14077,546,982.5,13851.5,Mar,2011
8344.5,9077,1,951,12262.5,Feb,2011
11792.5,12500.5,1,1201.5,12950,Jan,2011
10902.5,13639,255,1230.5,14084,Dec,2012
12834,14160,2336,951.5,14328.5,Nov,2012
11255.5,12745,6602,1051.5,12802.5,Oct,2012
13052.5,14550,14700.5,879.5,15050,Sep,2012
12445,13195.5,9903.5,979.5,13152,Aug,2012
10502,10700.5,5726,890.5,10952,Jul,2012
10251.5,11600.5,7482.5,1031,11501,Jun,2012
10051.5,11660,11600.5,805.5,12059.5,May,2012
11901,13251.5,10680,803.5,13150.5,Apr,2012
11551.5,13055.5,8515,699,13193,Mar,2012
10193.5,9995,7804.5,473.5,9837.5,Feb,2012
9305.5,10602.5,6095.5,440,10751,Jan,2012
12890.5,11151,6755.5,553,13751,Dec,2013
14350.5,14824,8800,590.5,14653,Nov,2013
13246,12551.5,7622.5,561,13251.5,Oct,2013
15885,15848.5,7182.5,623,16199,Sep,2013
16301.5,16096,6460,662.5,16647.5,Aug,2013
16306,16001,6512.5,702,17199,Jul,2013
17385,15501.5,6275.5,700,18099.5,Jun,2013
17147.5,16308,5850,646.5,17549,May,2013
18190,16851,6970.5,597,18401,Apr,2013
19777.5,19855.5,6845,816,20500,Mar,2013
18179.5,16712,4400,368,17649.5,Feb,2013
18950.5,16752,3949.5,531.5,19148.5,Jan,2013
21290,20005,4576,688.5,22053.5,Dec,2014
22248.5,20800.5,5398,631,21883.5,Nov,2014
23392.5,23003,6144.5,627,22684.5,Oct,2014
25495,26950,7148.5,700,26849.5,Sep,2014
26047.5,26693.5,7746,608,26848,Aug,2014
27394,27995.5,8564.5,604.5,28145.5,Jul,2014
28564.5,30350,8996,861.5,30150,Jun,2014
27504,27345,12095,658.5,28050.5,May,2014
